proposer_index,slot,declared_client
1631,445052,lighthouse
16024,365349,undecided
64450,452364,undecided
8579,371978,nimbus
11274,69993,undecided
27263,568860,prysm
37912,641373,undecided
11710,588305,undecided
3878,42273,undecided
10941,284735,teku
9768,292086,undecided
18216,65855,undecided
74737,668539,undecided
3394,70562,undecided
33662,653992,undecided
16192,422931,undecided
49082,572888,prysm
15355,489897,prysm
73235,495152,undecided
17209,333653,lighthouse
71829,598415,undecided
73564,633432,undecided
35298,611746,undecided
30187,642671,undecided
19897,501091,prysm
7172,629781,undecided
14828,641487,prysm
31403,383122,prysm
58546,371323,undecided
13604,457229,undecided
71172,619311,undecided
74039,627896,undecided
1739,426978,lighthouse
48710,641849,undecided
7935,660495,undecided
15910,513404,prysm
56271,596033,undecided
37756,570696,undecided
20436,320788,lighthouse
33047,614535,undecided
22927,343428,undecided
20416,446279,teku
7517,538306,undecided
40143,260821,prysm
46352,609176,undecided
40328,652125,undecided
40991,667779,undecided
10725,214145,undecided
41793,665486,undecided
30645,660841,undecided
39787,637859,undecided
8989,390689,nimbus
39396,589401,prysm
51066,636980,undecided
51731,625466,undecided
17464,444971,lighthouse
8140,662734,undecided
48057,613162,prysm
38287,450288,undecided
7389,658507,undecided
59619,522631,undecided
35066,546610,undecided
46475,571184,undecided
27112,670081,prysm
13620,262706,prysm
13231,456407,undecided
15132,620988,undecided
76438,580298,lighthouse
6270,625503,teku
12864,294373,undecided
41462,648520,undecided
49160,584537,prysm
29603,597862,undecided
4762,117723,undecided
65978,655090,undecided
35439,600038,undecided
19486,424913,prysm
34679,342138,undecided
11584,92852,undecided
20845,18471,lighthouse
19217,593722,lighthouse
59255,644558,undecided
12298,172960,undecided
15792,557994,lighthouse
47515,576470,prysm
33488,644145,undecided
46256,541074,undecided
27363,522561,prysm
20393,400330,undecided
20621,481090,prysm
72421,635771,undecided
28509,619121,undecided
17539,668453,undecided
25005,662776,undecided
27069,650551,prysm
17670,551858,prysm
40410,583027,undecided
48897,541315,undecided
46050,640533,undecided
39995,659862,undecided
11465,100709,undecided
18751,450597,undecided
30700,284397,undecided
38311,597683,undecided
52498,583459,undecided
5686,647555,teku
49371,635850,teku
77737,588457,undecided
25226,645875,undecided
31313,254710,prysm
22813,521329,lighthouse
12518,670321,undecided
19126,522147,prysm
5676,561810,teku
46599,387798,prysm
57655,533643,undecided
25503,668130,undecided
46841,473321,undecided
28897,662275,undecided
5632,189176,prysm
40342,467103,undecided
7784,560306,undecided
40571,643967,undecided
15888,580896,undecided
34561,225161,lighthouse
20711,606516,lighthouse
26711,475741,undecided
61540,481484,undecided
66727,465039,undecided
26338,451916,prysm
24757,671686,undecided
17660,662695,prysm
7459,577459,undecided
47542,496868,lighthouse
265,603322,undecided
1951,371211,lighthouse
7858,662870,undecided
7738,590473,undecided
29734,509060,undecided
49974,450351,teku
